web-scraper-order,web-scraper-start-url,article_link,article_link-href,nom,prix,adresse,image-src,pagination
"1739238780-1","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border10mois","https://sn.coinafrique.com/annonce/autres-animaux/paire-de-perruches-ondulees-4679396","Paire de perruches ondulées","","Mamelles, Dakar, Sénégal","",""
"1739238783-2","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border10mois","https://sn.coinafrique.com/annonce/autres-animaux/bufs-4679890","","","","",""
"1739238785-3","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border10mois","https://sn.coinafrique.com/annonce/autres-animaux/chaton-4689687","Chaton","","Ngor, Dakar, Sénégal","",""
"1739238787-4","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/perruche-4701230","Perruche","","Mamelles, Dakar, Sénégal","",""
"1739238790-5","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/cailles-4701407","Cailles","","Touba, Sénégal","",""
"1739238792-6","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/hamster-4723216","Hamster","","Almadies, Dakar, Sénégal","",""
"1739238794-7","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-4723220","Chat Siamois","","Almadies, Dakar, Sénégal","",""
"1739238797-8","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-inseparable-4724298","Perroquet inséparable","","Point E, Dakar, Sénégal","",""
"1739238799-9","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-4686441","Paon bleu","","Rufisque, Sénégal","",""
"1739238802-10","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/3-chatons-4751663","Chatons","","Mariste, Dakar, Sénégal","",""
"1739238804-11","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-4752043","Boeuf","","Kaolack, Sénégal","",""
"1739238806-12","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/vache-montbeliard-holstein-4753933","Vaches Montbéliarde","","Pikine, Sénégal","",""
"1739238809-13","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/vache-montbeliard-et-holstein-4753935","Vache Montbéliard et Holstein","","Rufisque, Sénégal","",""
