web-scraper-order,web-scraper-start-url,article_link,article_link-href,détails,prix,adresse,img,img-href,pagination
"1739236013-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/ufs-a-couver-4651892","","","","","",""
"1739236016-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-mondain-4653298","","","Rufisque, Sénégal","","",""
"1739236018-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-4653331","","","Rufisque, Sénégal","","",""
"1739236020-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-4662585","","","Rufisque, Sénégal","","",""
"1739236023-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-4662603","","","Rufisque, Sénégal","","",""
"1739236025-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-mondain-andalou-4664895","","","Cambérène, Dakar, Sénégal","","",""
"1739236028-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-a-manteau-4664901","","","Cambérène, Dakar, Sénégal","","",""
"1739236031-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-andalou-4667144","","","Guediawaye, Dakar, Sénégal","","",""
"1739236033-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chair-4667518","","","Mbour, Sénégal","","",""
"1739236036-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-mondain-ecailler-4685152","","","Guediawaye, Dakar, Sénégal","","",""
"1739236038-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-pigeons-voyageur-4690857","","","Dakar, Sénégal","","",""
"1739236041-12","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-male-voyageur-4690859","","","Keur Massar, Sénégal","","",""
"1739236043-13","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-4703012","","","Guediawaye, Dakar, Sénégal","","",""
"1739236046-14","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-king-male-4704120","","","","","",""
"1739236049-15","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-4714367","","","Mamelles, Dakar, Sénégal","","",""
"1739236052-16","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-negre-de-soie-4723223","","","Almadies, Dakar, Sénégal","","",""
"1739236054-17","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/volaille-4724548","","","Mbao, Dakar, Sénégal","","",""
"1739236058-18","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-voyageurs-4729764","","","Dakar, Sénégal","","",""
"1739236061-19","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-4738369","","","Thies, Sénégal","","",""
"1739236064-20","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chair-4696598","","","Mbao, Dakar, Sénégal","","",""
"1739236067-21","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border8mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-lapereau-fauve-de-bourgogne-4751808","","","Lac rose, Sénégal","","",""
"1739236069-22","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border8mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-4767951","","","Dakar, Sénégal","","",""
"1739236072-23","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border8mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-race-4787594","","","Keur Massar, Sénégal","","",""
"1739236074-24","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/texan-pionnier-4800306","","","Guediawaye, Dakar, Sénégal","","",""
"1739236076-25","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/jeune-couple-mondain-4800310","","","Guediawaye, Dakar, Sénégal","","",""
"1739236079-26","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-brahma-4807398","","","Rufisque, Sénégal","","",""
"1739236081-27","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-du-pays-4807968","","","Saint Louis, Sénégal","","",""
"1739236084-28","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/jeune-male-hermine-4810642","","","","","",""
"1739236086-29","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-frisees-4816360","","","Keur Massar, Sénégal","","",""
"1739236089-30","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-voyageur-4816363","","","Keur Massar, Sénégal","","",""
"1739236091-31","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/hermines-et-cochins-4817873","","","Mermoz-Sacré Coeur, Dakar, Sénégal","","",""
"1739236093-32","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cochin-porteur-cailloute-paire-4818681","","","Mbao, Dakar, Sénégal","","",""
"1739236096-33","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/male-brahman-hiermines-4824501","","","","","",""
"1739236098-34","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-hermine-standard-4824502","","","Dakar, Sénégal","","",""
"1739236101-35","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-metisse-geant-et-californien-4829597","","","Mbao, Dakar, Sénégal","","",""
